series,target_rabi_mhz,actual_rabi_mhz,detuning_mhz,excited_probability
current_echo_experiment,2.5,,-0.5,0.465
current_echo_experiment,2.5,,-0.495,0.521
current_echo_experiment,2.5,,-0.49,0.463
current_echo_experiment,2.5,,-0.485,0.484
current_echo_experiment,2.5,,-0.48,0.475
current_echo_experiment,2.5,,-0.475,0.518
current_echo_experiment,2.5,,-0.47,0.491
current_echo_experiment,2.5,,-0.465,0.506
current_echo_experiment,2.5,,-0.46,0.498
current_echo_experiment,2.5,,-0.455,0.5
current_echo_experiment,2.5,,-0.45,0.46
current_echo_experiment,2.5,,-0.445,0.511
current_echo_experiment,2.5,,-0.44,0.521
current_echo_experiment,2.5,,-0.435,0.467
current_echo_experiment,2.5,,-0.43,0.491
current_echo_experiment,2.5,,-0.425,0.482
current_echo_experiment,2.5,,-0.42,0.498
current_echo_experiment,2.5,,-0.415,0.498
current_echo_experiment,2.5,,-0.41,0.509
current_echo_experiment,2.5,,-0.405,0.484
current_echo_experiment,2.5,,-0.4,0.494
current_echo_experiment,2.5,,-0.395,0.493
current_echo_experiment,2.5,,-0.39,0.472
current_echo_experiment,2.5,,-0.385,0.516
current_echo_experiment,2.5,,-0.38,0.503
current_echo_experiment,2.5,,-0.375,0.483
current_echo_experiment,2.5,,-0.37,0.488
current_echo_experiment,2.5,,-0.365,0.484
current_echo_experiment,2.5,,-0.36,0.493
current_echo_experiment,2.5,,-0.355,0.495
current_echo_experiment,2.5,,-0.35,0.489
current_echo_experiment,2.5,,-0.345,0.496
current_echo_experiment,2.5,,-0.34,0.502
current_echo_experiment,2.5,,-0.335,0.484
current_echo_experiment,2.5,,-0.33,0.511
current_echo_experiment,2.5,,-0.325,0.507
current_echo_experiment,2.5,,-0.32,0.512
current_echo_experiment,2.5,,-0.315,0.484
current_echo_experiment,2.5,,-0.31,0.517
current_echo_experiment,2.5,,-0.305,0.519
current_echo_experiment,2.5,,-0.3,0.477
current_echo_experiment,2.5,,-0.295,0.484
current_echo_experiment,2.5,,-0.29,0.493
current_echo_experiment,2.5,,-0.285,0.487
current_echo_experiment,2.5,,-0.28,0.491
current_echo_experiment,2.5,,-0.275,0.511
current_echo_experiment,2.5,,-0.27,0.497
current_echo_experiment,2.5,,-0.265,0.501
current_echo_experiment,2.5,,-0.26,0.509
current_echo_experiment,2.5,,-0.255,0.482
current_echo_experiment,2.5,,-0.25,0.495
current_echo_experiment,2.5,,-0.245,0.492
current_echo_experiment,2.5,,-0.24,0.502
current_echo_experiment,2.5,,-0.235,0.504
current_echo_experiment,2.5,,-0.23,0.493
current_echo_experiment,2.5,,-0.225,0.48
current_echo_experiment,2.5,,-0.22,0.482
current_echo_experiment,2.5,,-0.215,0.533
current_echo_experiment,2.5,,-0.21,0.476
current_echo_experiment,2.5,,-0.205,0.48
current_echo_experiment,2.5,,-0.2,0.461
current_echo_experiment,2.5,,-0.195,0.506
current_echo_experiment,2.5,,-0.19,0.472
current_echo_experiment,2.5,,-0.185,0.483
current_echo_experiment,2.5,,-0.18,0.484
current_echo_experiment,2.5,,-0.175,0.498
current_echo_experiment,2.5,,-0.17,0.504
current_echo_experiment,2.5,,-0.165,0.492
current_echo_experiment,2.5,,-0.16,0.51
current_echo_experiment,2.5,,-0.155,0.478
current_echo_experiment,2.5,,-0.15,0.512
current_echo_experiment,2.5,,-0.145,0.474
current_echo_experiment,2.5,,-0.14,0.495
current_echo_experiment,2.5,,-0.135,0.498
current_echo_experiment,2.5,,-0.13,0.508
current_echo_experiment,2.5,,-0.125,0.484
current_echo_experiment,2.5,,-0.12,0.504
current_echo_experiment,2.5,,-0.115,0.495
current_echo_experiment,2.5,,-0.11,0.497
current_echo_experiment,2.5,,-0.105,0.491
current_echo_experiment,2.5,,-0.1,0.484
current_echo_experiment,2.5,,-0.095,0.46
current_echo_experiment,2.5,,-0.09,0.48
current_echo_experiment,2.5,,-0.085,0.46
current_echo_experiment,2.5,,-0.08,0.478
current_echo_experiment,2.5,,-0.075,0.495
current_echo_experiment,2.5,,-0.07,0.496
current_echo_experiment,2.5,,-0.065,0.461
current_echo_experiment,2.5,,-0.06,0.502
current_echo_experiment,2.5,,-0.055,0.512
current_echo_experiment,2.5,,-0.05,0.466
current_echo_experiment,2.5,,-0.045,0.434
current_echo_experiment,2.5,,-0.04,0.445
current_echo_experiment,2.5,,-0.035,0.4
current_echo_experiment,2.5,,-0.03,0.441
current_echo_experiment,2.5,,-0.025,0.377
current_echo_experiment,2.5,,-0.02,0.38
current_echo_experiment,2.5,,-0.015,0.345
current_echo_experiment,2.5,,-0.01,0.349
current_echo_experiment,2.5,,-0.005,0.346
current_echo_experiment,2.5,,0.0,0.334
current_echo_experiment,2.5,,0.005,0.312
current_echo_experiment,2.5,,0.01,0.332
current_echo_experiment,2.5,,0.015,0.322
current_echo_experiment,2.5,,0.02,0.346
current_echo_experiment,2.5,,0.025,0.371
current_echo_experiment,2.5,,0.03,0.384
current_echo_experiment,2.5,,0.035,0.371
current_echo_experiment,2.5,,0.04,0.422
current_echo_experiment,2.5,,0.045,0.432
current_echo_experiment,2.5,,0.05,0.473
current_echo_experiment,2.5,,0.055,0.471
current_echo_experiment,2.5,,0.06,0.468
current_echo_experiment,2.5,,0.065,0.476
current_echo_experiment,2.5,,0.07,0.512
current_echo_experiment,2.5,,0.075,0.511
current_echo_experiment,2.5,,0.08,0.501
current_echo_experiment,2.5,,0.085,0.517
current_echo_experiment,2.5,,0.09,0.486
current_echo_experiment,2.5,,0.095,0.55
current_echo_experiment,2.5,,0.1,0.527
current_echo_experiment,2.5,,0.105,0.483
current_echo_experiment,2.5,,0.11,0.512
current_echo_experiment,2.5,,0.115,0.507
current_echo_experiment,2.5,,0.12,0.5
current_echo_experiment,2.5,,0.125,0.534
current_echo_experiment,2.5,,0.13,0.497
current_echo_experiment,2.5,,0.135,0.5
current_echo_experiment,2.5,,0.14,0.519
current_echo_experiment,2.5,,0.145,0.552
current_echo_experiment,2.5,,0.15,0.498
current_echo_experiment,2.5,,0.155,0.535
current_echo_experiment,2.5,,0.16,0.538
current_echo_experiment,2.5,,0.165,0.522
current_echo_experiment,2.5,,0.17,0.513
current_echo_experiment,2.5,,0.175,0.527
current_echo_experiment,2.5,,0.18,0.515
current_echo_experiment,2.5,,0.185,0.508
current_echo_experiment,2.5,,0.19,0.53
current_echo_experiment,2.5,,0.195,0.516
current_echo_experiment,2.5,,0.2,0.526
current_echo_experiment,2.5,,0.205,0.521
current_echo_experiment,2.5,,0.21,0.534
current_echo_experiment,2.5,,0.215,0.5
current_echo_experiment,2.5,,0.22,0.521
current_echo_experiment,2.5,,0.225,0.498
current_echo_experiment,2.5,,0.23,0.521
current_echo_experiment,2.5,,0.235,0.549
current_echo_experiment,2.5,,0.24,0.554
current_echo_experiment,2.5,,0.245,0.516
current_echo_experiment,2.5,,0.25,0.514
current_echo_experiment,2.5,,0.255,0.522
current_echo_experiment,2.5,,0.26,0.552
current_echo_experiment,2.5,,0.265,0.518
current_echo_experiment,2.5,,0.27,0.533
current_echo_experiment,2.5,,0.275,0.505
current_echo_experiment,2.5,,0.28,0.494
current_echo_experiment,2.5,,0.285,0.51
current_echo_experiment,2.5,,0.29,0.522
current_echo_experiment,2.5,,0.295,0.522
current_echo_experiment,2.5,,0.3,0.54
current_echo_experiment,2.5,,0.305,0.519
current_echo_experiment,2.5,,0.31,0.534
current_echo_experiment,2.5,,0.315,0.52
current_echo_experiment,2.5,,0.32,0.521
current_echo_experiment,2.5,,0.325,0.509
current_echo_experiment,2.5,,0.33,0.539
